query,exploreLink,rank,date
性別生化指數異常,/trends/explore?q=%E6%80%A7%E5%88%A5%E7%94%9F%E5%8C%96%E6%8C%87%E6%95%B8%E7%95%B0%E5%B8%B8&date=today+1-m&geo=TW,17,2023-03-27
陷阱戰爭,/trends/explore?q=%E9%99%B7%E9%98%B1%E6%88%B0%E7%88%AD&date=today+1-m&geo=TW,18,2023-03-27
三毛,/trends/explore?q=%E4%B8%89%E6%AF%9B&date=today+1-m&geo=TW,19,2023-03-27
黃筱雯,/trends/explore?q=%E9%BB%83%E7%AD%B1%E9%9B%AF&date=today+1-m&geo=TW,20,2023-03-27
楊子儀,/trends/explore?q=%E6%A5%8A%E5%AD%90%E5%84%80&date=today+1-m&geo=TW,1,2023-03-28
六福村,/trends/explore?q=%E5%85%AD%E7%A6%8F%E6%9D%91&date=today+1-m&geo=TW,2,2023-03-28
王楚然,/trends/explore?q=%E7%8E%8B%E6%A5%9A%E7%84%B6&date=today+1-m&geo=TW,3,2023-03-28
埃及聖䴉,/trends/explore?q=%E5%9F%83%E5%8F%8A%E8%81%96%E4%B4%89&date=today+1-m&geo=TW,4,2023-03-28
張育成,/trends/explore?q=%E5%BC%B5%E8%82%B2%E6%88%90&date=today+1-m&geo=TW,5,2023-03-28
iOS 16.4,/trends/explore?q=iOS+16.4&date=today+1-m&geo=TW,6,2023-03-28
斐濟,/trends/explore?q=%E6%96%90%E6%BF%9F&date=today+1-m&geo=TW,7,2023-03-28
清大爆裂物,/trends/explore?q=%E6%B8%85%E5%A4%A7%E7%88%86%E8%A3%82%E7%89%A9&date=today+1-m&geo=TW,8,2023-03-28
房貸補貼,/trends/explore?q=%E6%88%BF%E8%B2%B8%E8%A3%9C%E8%B2%BC&date=today+1-m&geo=TW,9,2023-03-28
雞腿魚,/trends/explore?q=%E9%9B%9E%E8%85%BF%E9%AD%9A&date=today+1-m&geo=TW,10,2023-03-28
周杰倫,/trends/explore?q=%E5%91%A8%E6%9D%B0%E5%80%AB&date=today+1-m&geo=TW,11,2023-03-28
艾達莫娃,/trends/explore?q=%E8%89%BE%E9%81%94%E8%8E%AB%E5%A8%83&date=today+1-m&geo=TW,12,2023-03-28
雷虎,/trends/explore?q=%E9%9B%B7%E8%99%8E&date=today+1-m&geo=TW,13,2023-03-28
IGBT,/trends/explore?q=IGBT&date=today+1-m&geo=TW,14,2023-03-28
馬英九訪中,/trends/explore?q=%E9%A6%AC%E8%8B%B1%E4%B9%9D%E8%A8%AA%E4%B8%AD&date=today+1-m&geo=TW,15,2023-03-28
幣安,/trends/explore?q=%E5%B9%A3%E5%AE%89&date=today+1-m&geo=TW,16,2023-03-28
孫中山,/trends/explore?q=%E5%AD%AB%E4%B8%AD%E5%B1%B1&date=today+1-m&geo=TW,17,2023-03-28
鳴潮,/trends/explore?q=%E9%B3%B4%E6%BD%AE&date=today+1-m&geo=TW,18,2023-03-28
梁朝偉,/trends/explore?q=%E6%A2%81%E6%9C%9D%E5%81%89&date=today+1-m&geo=TW,19,2023-03-28
軍工概念股,/trends/explore?q=%E8%BB%8D%E5%B7%A5%E6%A6%82%E5%BF%B5%E8%82%A1&date=today+1-m&geo=TW,20,2023-03-28
陳庭妮,/trends/explore?q=%E9%99%B3%E5%BA%AD%E5%A6%AE&date=today+1-m&geo=TW,1,2023-03-29
星巴克買一送一,/trends/explore?q=%E6%98%9F%E5%B7%B4%E5%85%8B%E8%B2%B7%E4%B8%80%E9%80%81%E4%B8%80&date=today+1-m&geo=TW,2,2023-03-29
NET,/trends/explore?q=NET&date=today+1-m&geo=TW,3,2023-03-29
人蛇集團,/trends/explore?q=%E4%BA%BA%E8%9B%87%E9%9B%86%E5%9C%98&date=today+1-m&geo=TW,4,2023-03-29
統一發票1 2月,/trends/explore?q=%E7%B5%B1%E4%B8%80%E7%99%BC%E7%A5%A81+2%E6%9C%88&date=today+1-m&geo=TW,5,2023-03-29
五月天,/trends/explore?q=%E4%BA%94%E6%9C%88%E5%A4%A9&date=today+1-m&geo=TW,6,2023-03-29
薩爾達傳說王國之淚,/trends/explore?q=%E8%96%A9%E7%88%BE%E9%81%94%E5%82%B3%E8%AA%AA%E7%8E%8B%E5%9C%8B%E4%B9%8B%E6%B7%9A&date=today+1-m&geo=TW,7,2023-03-29
劉忠繼,/trends/explore?q=%E5%8A%89%E5%BF%A0%E7%B9%BC&date=today+1-m&geo=TW,8,2023-03-29
勇士,/trends/explore?q=%E5%8B%87%E5%A3%AB&date=today+1-m&geo=TW,9,2023-03-29
眾神派對,/trends/explore?q=%E7%9C%BE%E7%A5%9E%E6%B4%BE%E5%B0%8D&date=today+1-m&geo=TW,10,2023-03-29
五月天高雄演唱會,/trends/explore?q=%E4%BA%94%E6%9C%88%E5%A4%A9%E9%AB%98%E9%9B%84%E6%BC%94%E5%94%B1%E6%9C%83&date=today+1-m&geo=TW,11,2023-03-29
王心凌,/trends/explore?q=%E7%8E%8B%E5%BF%83%E5%87%8C&date=today+1-m&geo=TW,12,2023-03-29
Karencici,/trends/explore?q=Karencici&date=today+1-m&geo=TW,13,2023-03-29
顏寬恒,/trends/explore?q=%E9%A1%8F%E5%AF%AC%E6%81%92&date=today+1-m&geo=TW,14,2023-03-29
進口蛋,/trends/explore?q=%E9%80%B2%E5%8F%A3%E8%9B%8B&date=today+1-m&geo=TW,15,2023-03-29
Lady M,/trends/explore?q=Lady+M&date=today+1-m&geo=TW,16,2023-03-29
魔獸,/trends/explore?q=%E9%AD%94%E7%8D%B8&date=today+1-m&geo=TW,17,2023-03-29
做工的人電影版,/trends/explore?q=%E5%81%9A%E5%B7%A5%E7%9A%84%E4%BA%BA%E9%9B%BB%E5%BD%B1%E7%89%88&date=today+1-m&geo=TW,18,2023-03-29
美光,/trends/explore?q=%E7%BE%8E%E5%85%89&date=today+1-m&geo=TW,19,2023-03-29
南京大屠殺,/trends/explore?q=%E5%8D%97%E4%BA%AC%E5%A4%A7%E5%B1%A0%E6%AE%BA&date=today+1-m&geo=TW,20,2023-03-29
六福村,/trends/explore?q=%E5%85%AD%E7%A6%8F%E6%9D%91&date=today+1-m&geo=TW,1,2023-03-30
TOYOTA CROWN,/trends/explore?q=TOYOTA+CROWN&date=today+1-m&geo=TW,2,2023-03-30
周興哲,/trends/explore?q=%E5%91%A8%E8%88%88%E5%93%B2&date=today+1-m&geo=TW,3,2023-03-30
台中房屋倒塌,/trends/explore?q=%E5%8F%B0%E4%B8%AD%E6%88%BF%E5%B1%8B%E5%80%92%E5%A1%8C&date=today+1-m&geo=TW,4,2023-03-30
Tesla,/trends/explore?q=Tesla&date=today+1-m&geo=TW,5,2023-03-30
特斯拉,/trends/explore?q=%E7%89%B9%E6%96%AF%E6%8B%89&date=today+1-m&geo=TW,6,2023-03-30
Model S,/trends/explore?q=Model+S&date=today+1-m&geo=TW,7,2023-03-30
必勝客原神,/trends/explore?q=%E5%BF%85%E5%8B%9D%E5%AE%A2%E5%8E%9F%E7%A5%9E&date=today+1-m&geo=TW,8,2023-03-30
Sony ZV-E1,/trends/explore?q=Sony+ZV-E1&date=today+1-m&geo=TW,9,2023-03-30
宋濤,/trends/explore?q=%E5%AE%8B%E6%BF%A4&date=today+1-m&geo=TW,10,2023-03-30
落日飛車,/trends/explore?q=%E8%90%BD%E6%97%A5%E9%A3%9B%E8%BB%8A&date=today+1-m&geo=TW,11,2023-03-30
阿妹演唱會,/trends/explore?q=%E9%98%BF%E5%A6%B9%E6%BC%94%E5%94%B1%E6%9C%83&date=today+1-m&geo=TW,12,2023-03-30
代號鳶,/trends/explore?q=%E4%BB%A3%E8%99%9F%E9%B3%B6&date=today+1-m&geo=TW,13,2023-03-30
田馥甄,/trends/explore?q=%E7%94%B0%E9%A6%A5%E7%94%84&date=today+1-m&geo=TW,14,2023-03-30
申請入學,/trends/explore?q=%E7%94%B3%E8%AB%8B%E5%85%A5%E5%AD%B8&date=today+1-m&geo=TW,15,2023-03-30
黃宣,/trends/explore?q=%E9%BB%83%E5%AE%A3&date=today+1-m&geo=TW,16,2023-03-30
費鴻泰,/trends/explore?q=%E8%B2%BB%E9%B4%BB%E6%B3%B0&date=today+1-m&geo=TW,17,2023-03-30
韓國瑜,/trends/explore?q=%E9%9F%93%E5%9C%8B%E7%91%9C&date=today+1-m&geo=TW,18,2023-03-30
啟碁,/trends/explore?q=%E5%95%9F%E7%A2%81&date=today+1-m&geo=TW,19,2023-03-30
秦嵐,/trends/explore?q=%E7%A7%A6%E5%B5%90&date=today+1-m&geo=TW,20,2023-03-30
6000入帳,/trends/explore?q=6000%E5%85%A5%E5%B8%B3&date=today+1-m&geo=TW,1,2023-03-31
模仿犯,/trends/explore?q=%E6%A8%A1%E4%BB%BF%E7%8A%AF&date=today+1-m&geo=TW,2,2023-03-31
愚人節,/trends/explore?q=%E6%84%9A%E4%BA%BA%E7%AF%80&date=today+1-m&geo=TW,3,2023-03-31
MLB,/trends/explore?q=MLB&date=today+1-m&geo=TW,4,2023-03-31
王道銀行,/trends/explore?q=%E7%8E%8B%E9%81%93%E9%8A%80%E8%A1%8C&date=today+1-m&geo=TW,5,2023-03-31
Jisoo,/trends/explore?q=Jisoo&date=today+1-m&geo=TW,6,2023-03-31
高雄巨蛋,/trends/explore?q=%E9%AB%98%E9%9B%84%E5%B7%A8%E8%9B%8B&date=today+1-m&geo=TW,7,2023-03-31
清明連假高乘載,/trends/explore?q=%E6%B8%85%E6%98%8E%E9%80%A3%E5%81%87%E9%AB%98%E4%B9%98%E8%BC%89&date=today+1-m&geo=TW,8,2023-03-31
原神,/trends/explore?q=%E5%8E%9F%E7%A5%9E&date=today+1-m&geo=TW,9,2023-03-31
阿妹演唱會,/trends/explore?q=%E9%98%BF%E5%A6%B9%E6%BC%94%E5%94%B1%E6%9C%83&date=today+1-m&geo=TW,10,2023-03-31
哈孝遠,/trends/explore?q=%E5%93%88%E5%AD%9D%E9%81%A0&date=today+1-m&geo=TW,11,2023-03-31
台端,/trends/explore?q=%E5%8F%B0%E7%AB%AF&date=today+1-m&geo=TW,12,2023-03-31
王傑,/trends/explore?q=%E7%8E%8B%E5%82%91&date=today+1-m&geo=TW,13,2023-03-31
Flash Coffee,/trends/explore?q=Flash+Coffee&date=today+1-m&geo=TW,14,2023-03-31
張學友,/trends/explore?q=%E5%BC%B5%E5%AD%B8%E5%8F%8B&date=today+1-m&geo=TW,15,2023-03-31
奈良美智,/trends/explore?q=%E5%A5%88%E8%89%AF%E7%BE%8E%E6%99%BA&date=today+1-m&geo=TW,16,2023-03-31
孫藝珍,/trends/explore?q=%E5%AD%AB%E8%97%9D%E7%8F%8D&date=today+1-m&geo=TW,17,2023-03-31
CPTPP,/trends/explore?q=CPTPP&date=today+1-m&geo=TW,18,2023-03-31
華邦電,/trends/explore?q=%E8%8F%AF%E9%82%A6%E9%9B%BB&date=today+1-m&geo=TW,19,2023-03-31
芬蘭,/trends/explore?q=%E8%8A%AC%E8%98%AD&date=today+1-m&geo=TW,20,2023-03-31
必勝客,/trends/explore?q=%E5%BF%85%E5%8B%9D%E5%AE%A2&date=today+1-m&geo=TW,1,2023-04-01
林智妍,/trends/explore?q=%E6%9E%97%E6%99%BA%E5%A6%8D&date=today+1-m&geo=TW,2,2023-04-01
郵局6000,/trends/explore?q=%E9%83%B5%E5%B1%806000&date=today+1-m&geo=TW,3,2023-04-01
中華職棒,/trends/explore?q=%E4%B8%AD%E8%8F%AF%E8%81%B7%E6%A3%92&date=today+1-m&geo=TW,4,2023-04-01
水庫,/trends/explore?q=%E6%B0%B4%E5%BA%AB&date=today+1-m&geo=TW,5,2023-04-01
張國榮,/trends/explore?q=%E5%BC%B5%E5%9C%8B%E6%A6%AE&date=today+1-m&geo=TW,6,2023-04-01
大港開唱,/trends/explore?q=%E5%A4%A7%E6%B8%AF%E9%96%8B%E5%94%B1&date=today+1-m&geo=TW,7,2023-04-01
地震,/trends/explore?q=%E5%9C%B0%E9%9C%87&date=today+1-m&geo=TW,8,2023-04-01
瓜地馬拉,/trends/explore?q=%E7%93%9C%E5%9C%B0%E9%A6%AC%E6%8B%89&date=today+1-m&geo=TW,9,2023-04-01
F1,/trends/explore?q=F1&date=today+1-m&geo=TW,10,2023-04-01
中職,/trends/explore?q=%E4%B8%AD%E8%81%B7&date=today+1-m&geo=TW,11,2023-04-01
小人國,/trends/explore?q=%E5%B0%8F%E4%BA%BA%E5%9C%8B&date=today+1-m&geo=TW,12,2023-04-01
黃明志,/trends/explore?q=%E9%BB%83%E6%98%8E%E5%BF%97&date=today+1-m&geo=TW,13,2023-04-01
景甜,/trends/explore?q=%E6%99%AF%E7%94%9C&date=today+1-m&geo=TW,14,2023-04-01
中信兄弟,/trends/explore?q=%E4%B8%AD%E4%BF%A1%E5%85%84%E5%BC%9F&date=today+1-m&geo=TW,15,2023-04-01
Apink,/trends/explore?q=Apink&date=today+1-m&geo=TW,16,2023-04-01
南投天氣,/trends/explore?q=%E5%8D%97%E6%8A%95%E5%A4%A9%E6%B0%A3&date=today+1-m&geo=TW,17,2023-04-01
凱渡廣場酒店,/trends/explore?q=%E5%87%B1%E6%B8%A1%E5%BB%A3%E5%A0%B4%E9%85%92%E5%BA%97&date=today+1-m&geo=TW,18,2023-04-01
中國科技大學,/trends/explore?q=%E4%B8%AD%E5%9C%8B%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%B8&date=today+1-m&geo=TW,19,2023-04-01
曼城,/trends/explore?q=%E6%9B%BC%E5%9F%8E&date=today+1-m&geo=TW,20,2023-04-01
坂本龍一,/trends/explore?q=%E5%9D%82%E6%9C%AC%E9%BE%8D%E4%B8%80&date=today+1-m&geo=TW,1,2023-04-02
Energy,/trends/explore?q=Energy&date=today+1-m&geo=TW,2,2023-04-02
地獄樂,/trends/explore?q=%E5%9C%B0%E7%8D%84%E6%A8%82&date=today+1-m&geo=TW,3,2023-04-02
李心潔,/trends/explore?q=%E6%9D%8E%E5%BF%83%E6%BD%94&date=today+1-m&geo=TW,4,2023-04-02
天國大魔境,/trends/explore?q=%E5%A4%A9%E5%9C%8B%E5%A4%A7%E9%AD%94%E5%A2%83&date=today+1-m&geo=TW,5,2023-04-02
鄭靚歆,/trends/explore?q=%E9%84%AD%E9%9D%9A%E6%AD%86&date=today+1-m&geo=TW,6,2023-04-02
輔大陳若儀,/trends/explore?q=%E8%BC%94%E5%A4%A7%E9%99%B3%E8%8B%A5%E5%84%80&date=today+1-m&geo=TW,7,2023-04-02
淡水老街,/trends/explore?q=%E6%B7%A1%E6%B0%B4%E8%80%81%E8%A1%97&date=today+1-m&geo=TW,8,2023-04-02
白靈,/trends/explore?q=%E7%99%BD%E9%9D%88&date=today+1-m&geo=TW,9,2023-04-02
彭政閔,/trends/explore?q=%E5%BD%AD%E6%94%BF%E9%96%94&date=today+1-m&geo=TW,10,2023-04-02
桃園海芋,/trends/explore?q=%E6%A1%83%E5%9C%92%E6%B5%B7%E8%8A%8B&date=today+1-m&geo=TW,11,2023-04-02
張繼科,/trends/explore?q=%E5%BC%B5%E7%B9%BC%E7%A7%91&date=today+1-m&geo=TW,12,2023-04-02
費鴻泰,/trends/explore?q=%E8%B2%BB%E9%B4%BB%E6%B3%B0&date=today+1-m&geo=TW,13,2023-04-02
埔心牧場,/trends/explore?q=%E5%9F%94%E5%BF%83%E7%89%A7%E5%A0%B4&date=today+1-m&geo=TW,14,2023-04-02
龍與地下城 盜賊榮耀,/trends/explore?q=%E9%BE%8D%E8%88%87%E5%9C%B0%E4%B8%8B%E5%9F%8E+%E7%9B%9C%E8%B3%8A%E6%A6%AE%E8%80%80&date=today+1-m&geo=TW,15,2023-04-02
林志穎,/trends/explore?q=%E6%9E%97%E5%BF%97%E7%A9%8E&date=today+1-m&geo=TW,16,2023-04-02
台中夜市,/trends/explore?q=%E5%8F%B0%E4%B8%AD%E5%A4%9C%E5%B8%82&date=today+1-m&geo=TW,17,2023-04-02
大安森林公園,/trends/explore?q=%E5%A4%A7%E5%AE%89%E6%A3%AE%E6%9E%97%E5%85%AC%E5%9C%92&date=today+1-m&geo=TW,18,2023-04-02
陽明山,/trends/explore?q=%E9%99%BD%E6%98%8E%E5%B1%B1&date=today+1-m&geo=TW,19,2023-04-02
花蓮美食,/trends/explore?q=%E8%8A%B1%E8%93%AE%E7%BE%8E%E9%A3%9F&date=today+1-m&geo=TW,20,2023-04-02
張繼科,/trends/explore?q=%E5%BC%B5%E7%B9%BC%E7%A7%91&date=today+1-m&geo=TW,1,2023-04-03
貝里斯,/trends/explore?q=%E8%B2%9D%E9%87%8C%E6%96%AF&date=today+1-m&geo=TW,2,2023-04-03
富邦悍將,/trends/explore?q=%E5%AF%8C%E9%82%A6%E6%82%8D%E5%B0%87&date=today+1-m&geo=TW,3,2023-04-03
美秀集團,/trends/explore?q=%E7%BE%8E%E7%A7%80%E9%9B%86%E5%9C%98&date=today+1-m&geo=TW,4,2023-04-03
芬蘭,/trends/explore?q=%E8%8A%AC%E8%98%AD&date=today+1-m&geo=TW,5,2023-04-03
千賀滉大,/trends/explore?q=%E5%8D%83%E8%B3%80%E6%BB%89%E5%A4%A7&date=today+1-m&geo=TW,6,2023-04-03
日本入境,/trends/explore?q=%E6%97%A5%E6%9C%AC%E5%85%A5%E5%A2%83&date=today+1-m&geo=TW,7,2023-04-03
統一獅,/trends/explore?q=%E7%B5%B1%E4%B8%80%E7%8D%85&date=today+1-m&geo=TW,8,2023-04-03
賈靜雯,/trends/explore?q=%E8%B3%88%E9%9D%9C%E9%9B%AF&date=today+1-m&geo=TW,9,2023-04-03
曼聯,/trends/explore?q=%E6%9B%BC%E8%81%AF&date=today+1-m&geo=TW,10,2023-04-03
兒童節,/trends/explore?q=%E5%85%92%E7%AB%A5%E7%AF%80&date=today+1-m&geo=TW,1,2023-04-04
天水玥,/trends/explore?q=%E5%A4%A9%E6%B0%B4%E7%8E%A5&date=today+1-m&geo=TW,2,2023-04-04
燦爛的轉身,/trends/explore?q=%E7%87%A6%E7%88%9B%E7%9A%84%E8%BD%89%E8%BA%AB&date=today+1-m&geo=TW,3,2023-04-04
麥卡錫,/trends/explore?q=%E9%BA%A5%E5%8D%A1%E9%8C%AB&date=today+1-m&geo=TW,4,2023-04-04
馬國賢,/trends/explore?q=%E9%A6%AC%E5%9C%8B%E8%B3%A2&date=today+1-m&geo=TW,5,2023-04-04
田中千繪,/trends/explore?q=%E7%94%B0%E4%B8%AD%E5%8D%83%E7%B9%AA&date=today+1-m&geo=TW,6,2023-04-04
藍甲蟲,/trends/explore?q=%E8%97%8D%E7%94%B2%E8%9F%B2&date=today+1-m&geo=TW,7,2023-04-04
空氣品質,/trends/explore?q=%E7%A9%BA%E6%B0%A3%E5%93%81%E8%B3%AA&date=today+1-m&geo=TW,8,2023-04-04
狗狗幣,/trends/explore?q=%E7%8B%97%E7%8B%97%E5%B9%A3&date=today+1-m&geo=TW,9,2023-04-04
NCAA,/trends/explore?q=NCAA&date=today+1-m&geo=TW,10,2023-04-04
拼多多,/trends/explore?q=%E6%8B%BC%E5%A4%9A%E5%A4%9A&date=today+1-m&geo=TW,11,2023-04-04
獨行俠,/trends/explore?q=%E7%8D%A8%E8%A1%8C%E4%BF%A0&date=today+1-m&geo=TW,12,2023-04-04
郭台銘,/trends/explore?q=%E9%83%AD%E5%8F%B0%E9%8A%98&date=today+1-m&geo=TW,1,2023-04-05
瑪利歐電影,/trends/explore?q=%E7%91%AA%E5%88%A9%E6%AD%90%E9%9B%BB%E5%BD%B1&date=today+1-m&geo=TW,2,2023-04-05
湖人,/trends/explore?q=%E6%B9%96%E4%BA%BA&date=today+1-m&geo=TW,3,2023-04-05
TXT,/trends/explore?q=TXT&date=today+1-m&geo=TW,4,2023-04-05
哈孝遠,/trends/explore?q=%E5%93%88%E5%AD%9D%E9%81%A0&date=today+1-m&geo=TW,5,2023-04-05
鄧紫棋,/trends/explore?q=%E9%84%A7%E7%B4%AB%E6%A3%8B&date=today+1-m&geo=TW,6,2023-04-05
愛莉莎莎男友,/trends/explore?q=%E6%84%9B%E8%8E%89%E8%8E%8E%E8%8E%8E%E7%94%B7%E5%8F%8B&date=today+1-m&geo=TW,7,2023-04-05
Aesop,/trends/explore?q=Aesop&date=today+1-m&geo=TW,8,2023-04-05
陳韻文,/trends/explore?q=%E9%99%B3%E9%9F%BB%E6%96%87&date=today+1-m&geo=TW,9,2023-04-05
張嘉倪,/trends/explore?q=%E5%BC%B5%E5%98%89%E5%80%AA&date=today+1-m&geo=TW,10,2023-04-05
靜宜大學,/trends/explore?q=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8&date=today+1-m&geo=TW,1,2023-04-06
蔡英文,/trends/explore?q=%E8%94%A1%E8%8B%B1%E6%96%87&date=today+1-m&geo=TW,2,2023-04-06
長月燼明,/trends/explore?q=%E9%95%B7%E6%9C%88%E7%87%BC%E6%98%8E&date=today+1-m&geo=TW,3,2023-04-06
陳奕迅演唱會門票,/trends/explore?q=%E9%99%B3%E5%A5%95%E8%BF%85%E6%BC%94%E5%94%B1%E6%9C%83%E9%96%80%E7%A5%A8&date=today+1-m&geo=TW,4,2023-04-06
郵局領6000,/trends/explore?q=%E9%83%B5%E5%B1%80%E9%A0%986000&date=today+1-m&geo=TW,5,2023-04-06
復活節,/trends/explore?q=%E5%BE%A9%E6%B4%BB%E7%AF%80&date=today+1-m&geo=TW,6,2023-04-06
鄭南榕,/trends/explore?q=%E9%84%AD%E5%8D%97%E6%A6%95&date=today+1-m&geo=TW,7,2023-04-06
陳啟昱,/trends/explore?q=%E9%99%B3%E5%95%9F%E6%98%B1&date=today+1-m&geo=TW,8,2023-04-06
易烊千璽,/trends/explore?q=%E6%98%93%E7%83%8A%E5%8D%83%E7%92%BD&date=today+1-m&geo=TW,9,2023-04-06
長榮海運,/trends/explore?q=%E9%95%B7%E6%A6%AE%E6%B5%B7%E9%81%8B&date=today+1-m&geo=TW,10,2023-04-06
竇驍,/trends/explore?q=%E7%AB%87%E9%A9%8D&date=today+1-m&geo=TW,11,2023-04-06
澤倫斯基,/trends/explore?q=%E6%BE%A4%E5%80%AB%E6%96%AF%E5%9F%BA&date=today+1-m&geo=TW,12,2023-04-06
奇鋐,/trends/explore?q=%E5%A5%87%E9%8B%90&date=today+1-m&geo=TW,13,2023-04-06
台端,/trends/explore?q=%E5%8F%B0%E7%AB%AF&date=today+1-m&geo=TW,14,2023-04-06
緬甸仰光,/trends/explore?q=%E7%B7%AC%E7%94%B8%E4%BB%B0%E5%85%89&date=today+1-m&geo=TW,15,2023-04-06
台南火災,/trends/explore?q=%E5%8F%B0%E5%8D%97%E7%81%AB%E7%81%BD&date=today+1-m&geo=TW,16,2023-04-06
陳妍希,/trends/explore?q=%E9%99%B3%E5%A6%8D%E5%B8%8C&date=today+1-m&geo=TW,17,2023-04-06
解婕翎,/trends/explore?q=%E8%A7%A3%E5%A9%95%E7%BF%8E&date=today+1-m&geo=TW,18,2023-04-06
王道銀行,/trends/explore?q=%E7%8E%8B%E9%81%93%E9%8A%80%E8%A1%8C&date=today+1-m&geo=TW,19,2023-04-06
英業達,/trends/explore?q=%E8%8B%B1%E6%A5%AD%E9%81%94&date=today+1-m&geo=TW,20,2023-04-06
陳奕迅,/trends/explore?q=%E9%99%B3%E5%A5%95%E8%BF%85&date=now+7-d&geo=TW,1,2023-04-07
沈鴻元,/trends/explore?q=%E6%B2%88%E9%B4%BB%E5%85%83&date=now+7-d&geo=TW,2,2023-04-07
遠景基金會,/trends/explore?q=%E9%81%A0%E6%99%AF%E5%9F%BA%E9%87%91%E6%9C%83&date=now+7-d&geo=TW,3,2023-04-07
草東沒有派對,/trends/explore?q=%E8%8D%89%E6%9D%B1%E6%B2%92%E6%9C%89%E6%B4%BE%E5%B0%8D&date=now+7-d&geo=TW,4,2023-04-07
Lululemon,/trends/explore?q=Lululemon&date=now+7-d&geo=TW,5,2023-04-07
劉子賢,/trends/explore?q=%E5%8A%89%E5%AD%90%E8%B3%A2&date=now+7-d&geo=TW,6,2023-04-07
囝仔昌,/trends/explore?q=%E5%9B%9D%E4%BB%94%E6%98%8C&date=now+7-d&geo=TW,7,2023-04-07
Epic,/trends/explore?q=Epic&date=now+7-d&geo=TW,8,2023-04-07
屏東三大日音樂節,/trends/explore?q=%E5%B1%8F%E6%9D%B1%E4%B8%89%E5%A4%A7%E6%97%A5%E9%9F%B3%E6%A8%82%E7%AF%80&date=now+7-d&geo=TW,9,2023-04-07
肯德基蛋撻,/trends/explore?q=%E8%82%AF%E5%BE%B7%E5%9F%BA%E8%9B%8B%E6%92%BB&date=now+7-d&geo=TW,10,2023-04-07
速命道,/trends/explore?q=%E9%80%9F%E5%91%BD%E9%81%93&date=now+7-d&geo=TW,11,2023-04-07
以色列,/trends/explore?q=%E4%BB%A5%E8%89%B2%E5%88%97&date=now+7-d&geo=TW,12,2023-04-07
華夏科技大學,/trends/explore?q=%E8%8F%AF%E5%A4%8F%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%B8&date=now+7-d&geo=TW,13,2023-04-07
聯發科,/trends/explore?q=%E8%81%AF%E7%99%BC%E7%A7%91&date=now+7-d&geo=TW,14,2023-04-07
樂樂法利,/trends/explore?q=%E6%A8%82%E6%A8%82%E6%B3%95%E5%88%A9&date=now+7-d&geo=TW,15,2023-04-07
非農就業數據,/trends/explore?q=%E9%9D%9E%E8%BE%B2%E5%B0%B1%E6%A5%AD%E6%95%B8%E6%93%9A&date=now+7-d&geo=TW,16,2023-04-07
味全龍,/trends/explore?q=%E5%91%B3%E5%85%A8%E9%BE%8D&date=now+7-d&geo=TW,17,2023-04-07
腸病毒,/trends/explore?q=%E8%85%B8%E7%97%85%E6%AF%92&date=now+7-d&geo=TW,18,2023-04-07
張家界,/trends/explore?q=%E5%BC%B5%E5%AE%B6%E7%95%8C&date=now+7-d&geo=TW,19,2023-04-07
九二共識,/trends/explore?q=%E4%B9%9D%E4%BA%8C%E5%85%B1%E8%AD%98&date=now+7-d&geo=TW,20,2023-04-07
陳天仁,/trends/explore?q=%E9%99%B3%E5%A4%A9%E4%BB%81&date=now+7-d&geo=TW,1,2023-04-08
大嘻哈時代2,/trends/explore?q=%E5%A4%A7%E5%98%BB%E5%93%88%E6%99%82%E4%BB%A32&date=now+7-d&geo=TW,2,2023-04-08
戴資穎,/trends/explore?q=%E6%88%B4%E8%B3%87%E7%A9%8E&date=now+7-d&geo=TW,3,2023-04-08
吳欣岱,/trends/explore?q=%E5%90%B3%E6%AC%A3%E5%B2%B1&date=now+7-d&geo=TW,4,2023-04-08
軍演,/trends/explore?q=%E8%BB%8D%E6%BC%94&date=now+7-d&geo=TW,5,2023-04-08
口罩解禁,/trends/explore?q=%E5%8F%A3%E7%BD%A9%E8%A7%A3%E7%A6%81&date=now+7-d&geo=TW,6,2023-04-08
林為洲,/trends/explore?q=%E6%9E%97%E7%82%BA%E6%B4%B2&date=now+7-d&geo=TW,7,2023-04-08
花蓮客運,/trends/explore?q=%E8%8A%B1%E8%93%AE%E5%AE%A2%E9%81%8B&date=now+7-d&geo=TW,8,2023-04-08
劉揚偉,/trends/explore?q=%E5%8A%89%E6%8F%9A%E5%81%89&date=now+7-d&geo=TW,9,2023-04-08
朱立倫,/trends/explore?q=%E6%9C%B1%E7%AB%8B%E5%80%AB&date=now+7-d&geo=TW,10,2023-04-08
許維恩,/trends/explore?q=%E8%A8%B1%E7%B6%AD%E6%81%A9&date=now+7-d&geo=TW,11,2023-04-08
巧克力,/trends/explore?q=%E5%B7%A7%E5%85%8B%E5%8A%9B&date=now+7-d&geo=TW,12,2023-04-08
張員瑛,/trends/explore?q=%E5%BC%B5%E5%93%A1%E7%91%9B&date=now+7-d&geo=TW,13,2023-04-08
